,title,description,originallink,link,pubDate
54,"세종시, 출범 10주년 기념 청소년 요리대회 개최","현장평가로 진행된 본선은 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대 호텔외식조리학과 교수, 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다. 심사 결과 대상은... ",https://news.kmib.co.kr/article/view.asp?arcid=0017374053&code=61121111&cp=nv,https://n.news.naver.com/mnews/article/005/0001546520?sid=102,"Mon, 15 Aug 2022 13:17:00 +0900"
55,"세종시 출범 10주년, 요리를 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",http://www.bzeronews.com/news/articleView.html?idxno=526773,http://www.bzeronews.com/news/articleView.html?idxno=526773,"Mon, 15 Aug 2022 11:58:00 +0900"
56,"세종시 출범 10주년, 청소년 요리 경연대회 개최","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",https://www.viva100.com/main/view.php?key=20220815010003572,https://www.viva100.com/main/view.php?key=20220815010003572,"Mon, 15 Aug 2022 11:20:00 +0900"
57,"세종시 출범 10주년, 전국 청소년 '요리를 창조하라'","본선은 현장평가로 진행했으며 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로... ",http://www.newstnt.com/news/articleView.html?idxno=223262,http://www.newstnt.com/news/articleView.html?idxno=223262,"Mon, 15 Aug 2022 10:46:00 +0900"
58,"세종시 출범 10주년, 요리를 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674363,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674363,"Mon, 15 Aug 2022 10:10:00 +0900"
59,"""활동 안 해도 괜찮아"" 방탄소년단★, 브랜드평판 1위 등극","8월 보이그룹 브랜드평판 30위 순위는 방탄소년단, 세븐틴, NCT, <b>위너</b>, 엑소, 슈퍼주니어, 더보이즈, 엔하이픈, 샤이니, 아스트로, 몬스타엑스, 빅뱅, 투모로우바이투게더, 스트레이 키즈, 비투비, FT아일랜드... ",http://moneys.mt.co.kr/news/mwView.php?no=2022081509344760947,https://n.news.naver.com/mnews/article/417/0000842810?sid=106,"Mon, 15 Aug 2022 09:43:00 +0900"
60,"[기획] ""대형마트부터 패션업계까지""…휴양지 마케팅 주력",15일 업계에 따르면 롯데마트는 내달 30일까지 양양에 팝업스토어를 열고 직접 개발한 이색과일 &apos;블랙<b>위너</b>수... 수박인 &apos;블랙<b>위너</b>수박&apos; 팝업스토어를 내달 말까지 선보인다. 롯데마트가 농우바이오와 함께 7년간 공동... ,http://www.m-i.kr/news/articleView.html?idxno=942389,http://www.m-i.kr/news/articleView.html?idxno=942389,"Mon, 15 Aug 2022 09:10:00 +0900"
61,"[내일 사볼까]""와이지엔터, 업종 최선호주…향후 1년이 가장 중요""","향후 아티스트 풀가동(블랙핑크, <b>위너</b>, 아이콘, 트레저, 빅뱅의 솔로 또는 유닛 등)이 기대된다&quot;며 &quot;밸류에이션 저평가와 아티스트 모멘텀이 접목되는 구간&quot;이라고 밝혔다. 와이지엔터테인먼트의 지난 2분기 실적은... ",http://news.heraldcorp.com/view.php?ud=20220812000682,https://n.news.naver.com/mnews/article/016/0002028466?sid=101,"Mon, 15 Aug 2022 07:53:00 +0900"
62,위너콰이어 “일본군 위안부 기림일” 위안부 피해자 위한 공연 올려..,특히 <b>위너</b>콰이어가 위안부 피해자들을 위로하고 그들의 삶을 재조명하는 창작 뮤지컬 &lt;마음에 새기다&gt;를 올려 오늘 행사를 더욱 뜻깊게 만들었다. 공연이 진행되는 동안 순간순간 울컥하는 행사장 관객들의 모습도 눈에... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202208142352003&sec_id=560801&pt=nv,https://n.news.naver.com/mnews/article/144/0000831008?sid=106,"Sun, 14 Aug 2022 23:53:00 +0900"
63,"롯데뮤지엄, ‘레드닷 디자인 어워드’ 본상 수상","또한 아시아 디자인 프라이즈 2022에서 골드 <b>위너</b>를 수상해 디자인의 우수성을 세계적으로 인정받았다.한편, 레드닷 어워드는 미국의 IDEA(International Design Excellence Awards), 독일의iF(International Forum) 디자인... ",https://www.jungle.co.kr/magazine/204481,https://www.jungle.co.kr/magazine/204481,"Sun, 14 Aug 2022 23:28:00 +0900"
